Wall time,Step,Value
1691659172.695589,230,25.0
1691659262.221678,233,25.0
1691659287.677891,236,26.0
1691659300.803225,239,26.0
1691659387.5940568,242,26.0
1691659407.4196527,245,27.0
1691659427.8368263,248,27.0
1691659513.0403373,251,27.0
1691659534.9496274,254,28.0
1691659559.582842,257,28.0
1691659638.9038453,260,28.0
1691659655.2710147,263,29.0
1691659676.3001912,266,29.0
1691659765.069848,269,29.0
1691659786.058381,272,30.0
1691659807.2798672,275,30.0
1691659890.4091835,278,30.0
1691659910.6452367,281,31.0
1691659930.6419773,284,31.0
1691660017.5868764,287,31.0
1691660037.6912405,290,32.0
1691660062.0271122,293,32.0
1691660143.360322,296,32.0
1691660170.3758483,299,33.0
1691660190.5507543,302,33.0
1691660271.6037228,305,33.0
1691660296.9561677,308,34.0
1691660318.449636,311,34.0
1691660402.7411013,314,34.0
1691660422.6809225,317,35.0
1691660449.5750508,320,35.0
1691660534.312131,323,35.0
1691660557.9465451,326,36.0
1691660580.9020786,329,36.0
1691660665.9931047,332,36.0
1691660687.0385273,335,37.0
1691660712.849809,338,37.0
1691660794.9585412,341,37.0
1691660812.4140875,344,38.0
1691660829.158719,347,38.0
1691660927.8017204,350,38.0
1691660949.3562174,353,39.0
1691660973.293645,356,39.0
1691661063.7629242,359,39.0
1691661081.74042,362,40.0
1691661104.7170205,365,40.0
1691661198.1710885,368,40.0
1691661225.6051302,371,41.0
1691661247.6152196,374,41.0
1691661333.0467608,377,41.0
1691661361.7905176,380,42.0
1691661378.1642294,383,42.0
1691661466.7545886,386,42.0
1691661488.3305125,389,43.0
1691661511.96004,392,43.0
1691661593.0895994,395,43.0
1691661613.3330646,398,44.0
1691661638.3593552,401,44.0
1691661719.0725832,404,44.0
1691661744.32796,407,45.0
1691661763.4986742,410,45.0
1691661845.9,413,45.0
1691661872.522552,416,46.0
1691661894.9259276,419,46.0
1691661976.4870958,422,46.0
1691662004.1383805,425,47.0
1691662020.7213118,428,47.0
1691662107.9510372,431,47.0
1691662125.364483,434,48.0
1691662145.9796069,437,48.0
1691662233.6929245,440,48.0
1691662255.5548432,443,49.0
1691662278.7636218,446,49.0
1691662360.1052203,449,49.0
1691662387.701447,452,50.0
1691662411.4006984,455,50.0
1691662489.431104,458,50.0
1691662507.247723,461,51.0
1691662526.5991356,464,51.0
1691662614.9919112,467,51.0
1691662632.9845111,470,52.0
1691662648.1745007,473,52.0
1691662739.3489492,476,52.0
1691662755.9596012,479,53.0
1691662769.957854,482,53.0
1691662864.9229279,485,53.0
1691662891.505369,488,54.0
1691662910.1386971,491,54.0
1691662989.0611236,494,54.0
1691663006.0905294,497,55.0
1691663025.4266984,500,55.0
1691663118.63317,503,55.0
1691663140.8010979,506,56.0
1691663160.8379128,509,56.0
1691663243.3900754,512,56.0
1691663264.2144575,515,57.0
1691663288.0066714,518,57.0
1691663367.5462797,521,57.0
1691663383.9126763,524,58.0
1691663411.7498178,527,58.0
1691663490.4930692,530,58.0
1691663511.8880231,533,59.0
1691663534.267997,536,59.0
1691663613.8732944,539,59.0
1691663639.6960282,542,60.0
1691663658.47953,545,60.0
1691663736.6170964,548,60.0
1691663753.0376134,551,61.0
1691663776.3786924,554,61.0
1691663858.5997756,557,61.0
1691663878.7899234,560,62.0
1691663899.184765,563,62.0
1691663981.9421961,566,62.0
1691664006.5800703,569,63.0
1691664027.9576976,572,63.0
1691664105.5171938,575,63.0
1691664125.3020973,578,64.0
1691664149.3337827,581,64.0
1691664227.8833623,584,64.0
1691664243.8931541,587,65.0
1691664268.2623596,590,65.0
1691664353.2362092,593,65.0
1691664373.6326544,596,66.0
1691664397.0402832,599,66.0
1691664477.7874534,602,66.0
1691664497.199788,605,67.0
1691664517.1966026,608,67.0
1691664601.1650066,611,67.0
1691664622.7525299,614,68.0
1691664635.73893,617,68.0
1691664724.1278708,620,68.0
1691664739.9282615,623,69.0
1691664764.9437706,626,69.0
1691664848.0724194,629,69.0
1691664868.6901412,632,70.0
1691664887.0782976,635,70.0
1691664972.0510888,638,70.0
1691664998.0576594,641,71.0
1691665012.838376,644,71.0
1691665096.6126595,647,71.0
1691665121.449411,650,72.0
1691665138.4143224,653,72.0
1691665223.4843118,656,72.0
1691665251.1352046,659,73.0
1691665267.2659874,662,73.0
1691665356.6557474,665,73.0
1691665374.8457942,668,74.0
1691665402.898912,671,74.0
1691665491.0083199,674,74.0
1691665512.942915,677,75.0
1691665538.4466143,680,75.0
1691665623.1813786,683,75.0
1691665645.5363336,686,76.0
1691665668.9411147,689,76.0
1691665755.7274203,692,76.0
1691665776.272009,695,77.0
1691665799.0838447,698,77.0
1691665887.886653,701,77.0
1691665914.314218,704,78.0
1691665931.6476238,707,78.0
1691666020.0487816,710,78.0
1691666040.8780582,713,79.0
1691666062.541818,716,79.0
1691666146.8942049,719,79.0
1691666165.28501,722,80.0
1691666190.105452,725,80.0
1691666272.6537707,728,80.0
1691666298.0503824,731,81.0
1691666312.6242921,734,81.0
1691666397.3949037,737,81.0
1691666414.4129663,740,82.0
1691666434.4282875,743,82.0
1691666522.5622182,746,82.0
1691666543.3974864,749,83.0
1691666558.4367952,752,83.0
1691666646.1203637,755,83.0
1691666662.952257,758,84.0
1691666692.9477541,761,84.0
1691666770.4916515,764,84.0
1691666792.2972214,767,85.0
1691666806.891077,770,85.0
1691666894.6489508,773,85.0
1691666922.6475036,776,86.0
1691666937.254845,779,86.0
1691667020.6290898,782,86.0
1691667042.2021022,785,87.0
1691667061.8112297,788,87.0
1691667146.3702385,791,87.0
1691667167.8069854,794,88.0
1691667186.3924158,797,88.0
1691667271.1466837,800,88.0
1691667292.7613134,803,89.0
1691667307.3217764,806,89.0
1691667395.3086646,809,89.0
1691667411.5081747,812,90.0
1691667436.7045174,815,90.0
1691667522.2708168,818,90.0
1691667543.323407,821,91.0
1691667558.0285788,824,91.0
1691667649.716353,827,91.0
1691667673.4595964,830,92.0
1691667698.695759,833,92.0
1691667780.1924694,836,92.0
1691667802.3974285,839,93.0
1691667816.9917097,842,93.0
1691667907.6220617,845,93.0
