Wall time,Step,Value
1691656047.7382295,2,0.00013766158372163773
1691656069.5586917,5,4.21512704633642e-05
1691656093.3334477,8,0.0017147385515272617
1691656176.437582,11,0.0017231296515092254
1691656201.9156735,14,0.0022845009807497263
1691656219.5974872,17,0.001036806614138186
1691656312.0930967,20,0.011829652823507786
1691656327.0140133,23,0.0
1691656347.0583766,26,0.0
1691656432.2422395,29,0.0024449878837913275
1691656457.024565,32,0.01066666655242443
1691656472.7388587,35,0.005988024175167084
1691656558.180325,38,0.0
1691656584.5759602,41,0.0005156566039659083
1691656598.2824059,44,0.0
1691656679.9005682,47,0.00046738071250729263
1691656703.548541,50,0.0044247787445783615
1691656723.651901,53,0.0
1691656806.942564,56,0.0
1691656826.8243122,59,0.0
1691656844.4131398,62,0.0
1691656927.3841343,65,7.829321111785248e-05
1691656941.7542298,68,0.0
1691656964.642373,71,0.0
1691657048.5331814,74,0.0
1691657068.1332214,77,0.0
1691657084.9773612,80,0.0
1691657170.4909706,83,0.0
1691657189.8931959,86,0.0
1691657206.5211945,89,0.0
1691657295.4283888,92,0.0
1691657310.4308777,95,0.0
1691657328.922055,98,0.0
1691657412.8304756,101,0.0
1691657428.7936094,104,0.005102040711790323
1691657449.8644886,107,0.0
1691657532.7732484,110,0.0
1691657555.7883308,113,0.0
1691657574.0079625,116,0.0
1691657666.1177826,119,0.0
1691657681.9126592,122,0.0
1691657695.1976523,125,0.0
1691657775.6997416,128,0.0
1691657797.885184,131,0.0
1691657816.7239435,134,0.0
1691657909.4663124,137,0.0
1691657923.0360065,140,0.07602532207965851
1691657938.135431,143,0.0
1691658025.564483,146,0.0
1691658039.629708,149,0.0
1691658064.6850772,152,0.0
1691658154.815047,155,0.0
1691658169.9815571,158,0.0
1691658187.8566236,161,0.12375707179307938
1691658274.7498672,164,0.0
1691658293.9567304,167,0.003458483377471566
1691658313.0198543,170,0.0
1691658399.24738,173,0.011627906933426857
1691658419.3144047,176,0.0
1691658436.9537258,179,0.0010696721728891134
1691658525.4759426,182,0.0
1691658546.7425199,185,0.0
1691658564.90016,188,0.004739336669445038
1691658656.2457008,191,0.0
1691658675.8697996,194,0.0
1691658689.681689,197,0.0005611671949736774
1691658777.8934052,200,0.02119574323296547
1691658791.7713838,203,0.002184726996347308
1691658815.2749548,206,0.0
1691658900.971214,209,0.00012815163063351065
1691658921.1802628,212,0.06910508126020432
1691658940.3846805,215,0.0
1691659029.9135008,218,0.027203498408198357
1691659049.7387526,221,0.0
1691659067.9622664,224,0.147837832570076
1691659156.0757651,227,0.10220567137002945
1691659172.6955512,230,0.0
1691659194.5557616,233,0.1904691606760025
1691659287.6778638,236,7.704456947976723e-05
1691659300.8031993,239,2.274795224366244e-05
1691659321.9873724,242,0.0
1691659407.419627,245,0.09180235117673874
1691659427.8367994,248,0.0
1691659446.8770618,251,0.0
1691659534.9496007,254,0.025182273238897324
1691659559.5828166,257,0.0002003338886424899
1691659572.5733848,260,0.0
1691659655.2709894,263,0.15884940326213837
1691659676.3001654,266,0.0
1691659699.3869994,269,0.0
1691659786.0583568,272,0.0
1691659807.2798395,275,0.010018214583396912
1691659825.4984562,278,0.22091729938983917
1691659910.645211,281,0.0
1691659930.6419501,284,0.09546642750501633
1691659951.276959,287,0.0
1691660037.6912134,290,0.0
1691660062.0270863,293,0.0
1691660076.5395892,296,0.0
1691660170.3758228,299,0.0
1691660190.5507267,302,0.0
